,Movie,Production Budget,Domestic Gross,Worldwide Gross
0,10 000 B C (2008),105000000.0,94784201.0,269065678.0
1,10 CLOVERFIELD LANE (2016),15000000.0,72082999.0,108286422.0
2,10 DAYS IN A MADHOUSE (2015),12000000.0,14616.0,14616.0
3,10 THINGS I HATE ABOUT YOU (1999),13000000.0,38177966.0,60413950.0
4,102 DALMATIANS (2000),85000000.0,66941559.0,66941559.0
5,10TH AND WOLF (2006),8000000.0,54702.0,143782.0
6,12 MONKEYS (1995),29000000.0,57141459.0,168841459.0
7,12 ROUNDS (2009),20000000.0,12234694.0,17306648.0
8,12 STRONG (2018),35000000.0,45819713.0,71118378.0
9,12 YEARS A SLAVE (2013),20000000.0,56671993.0,180765061.0
10,127 HOURS (2010),18000000.0,18335230.0,60217171.0
11,13 GOING ON 30 (2004),37000000.0,57139723.0,97658712.0
12,13 HOURS THE SECRET SOLDIERS OF BENGHAZI (2016),50000000.0,52853219.0,69411370.0
13,13 SINS (2014),4000000.0,9134.0,47552.0
14,1408 (2007),22500000.0,71985628.0,131263370.0
15,15 MINUTES (2001),42000000.0,24375436.0,56331864.0
16,16 BLOCKS (2006),45000000.0,36895141.0,65595141.0
17,16 TO LIFE (2010),1000000.0,11574.0,11574.0
18,17 AGAIN (2009),40000000.0,64167069.0,139474906.0
19,1917 (2019),100000000.0,159227644.0,389140440.0
20,1941 (1979),32000000.0,34175000.0,94875000.0
21,2 FAST 2 FURIOUS (2003),76000000.0,127120058.0,236410607.0
22,2 FOR THE MONEY (2005),20000000.0,22991379.0,30491379.0
23,2 GUNS (2013),61000000.0,75612460.0,132493015.0
24,20 000 LEAGUES UNDER THE SEA (1916),200000.0,8000000.0,8000000.0
25,20 000 LEAGUES UNDER THE SEA (1954),5000000.0,28200000.0,28200000.0
26,20 DATES (1999),66000.0,541636.0,602920.0
27,20 FEET FROM STARDOM (2013),1000000.0,4946250.0,5892466.0
28,200 CIGARETTES (1999),6000000.0,6852450.0,6852450.0
29,2001 A SPACE ODYSSEY (1968),10500000.0,59936321.0,71845795.0
30,2012 (2009),200000000.0,166112167.0,757677748.0
31,2016 OBAMA'S AMERICA (2012),2500000.0,33349941.0,33349941.0
32,2046 (2004),12000000.0,1442338.0,19278598.0
33,20TH CENTURY WOMEN (2016),7000000.0,5664763.0,9353729.0
34,21 (2008),35000000.0,81159365.0,159846429.0
35,21 AND OVER (2013),13000000.0,25682380.0,42195766.0
36,21 BRIDGES (2019),33000000.0,28539757.0,42657631.0
37,21 GRAMS (2003),20000000.0,16248701.0,59667625.0
38,21 JUMP STREET (2012),42000000.0,138447667.0,202812429.0
39,22 JUMP STREET (2014),50000000.0,191719337.0,331333876.0
40,23 BLAST (2014),1000000.0,549185.0,549185.0
41,24 7 TWENTY FOUR SEVEN (1998),2000000.0,72544.0,72544.0
42,25TH HOUR (2002),4500000.0,13084595.0,25344490.0
43,27 DRESSES (2008),30000000.0,76808654.0,160247805.0
44,28 DAYS (2000),43000000.0,37035515.0,62063972.0
45,28 DAYS LATER (2003),8000000.0,45064915.0,82955633.0
46,28 WEEKS LATER (2007),15000000.0,28638916.0,64232714.0
47,3 (2011),7200000.0,59774.0,295492.0
48,3 10 TO YUMA (2007),48000000.0,53606916.0,71171825.0
49,3 BACKYARDS (2011),300000.0,39475.0,39475.0
50,3 DAYS TO KILL (2014),28000000.0,30697999.0,38959900.0
51,3 MEN AND A BABY (1987),15000000.0,167780960.0,167780960.0
52,3 NINJAS KICK BACK (1994),20000000.0,11744960.0,11744960.0
53,3 STRIKES (2000),4000000.0,9821335.0,9821335.0
54,30 DAYS OF NIGHT (2007),30000000.0,39568996.0,80276156.0
55,30 MINUTES OR LESS (2011),28000000.0,37053924.0,41146935.0
56,300 (2007),60000000.0,210614939.0,454161935.0
57,300 RISE OF AN EMPIRE (2014),110000000.0,106580051.0,330780051.0
58,3000 MILES TO GRACELAND (2001),62000000.0,15738632.0,18708848.0
59,31 (2016),1500000.0,779820.0,922727.0
60,4 LUNI 3 SAPTAMANI SI 2 ZILE (2008),900000.0,1196321.0,11993156.0
61,40 DAYS AND 40 NIGHTS (2002),17000000.0,37939782.0,95092667.0
62,42 (2013),31000000.0,95020213.0,97470701.0
63,42ND STREET (1933),439000.0,1438000.0,2281000.0
64,47 METERS DOWN (2017),5300000.0,44307193.0,62633705.0
65,47 METERS DOWN UNCAGED (2019),12000000.0,22260900.0,47582563.0
66,47 RONIN (2013),175000000.0,38362475.0,151716815.0
67,5 DAYS OF WAR (2011),12000000.0,17479.0,87793.0
68,50 50 (2011),8000000.0,35016118.0,41334735.0
69,50 FIRST DATES (2004),75000000.0,120776832.0,196320329.0
70,50 TO 1 (2014),10000000.0,1069454.0,1069454.0
71,500 DAYS OF SUMMER (2009),7500000.0,32425665.0,34515303.0
72,51 BIRCH STREET (2006),350000.0,84689.0,84689.0
73,54 (1998),13000000.0,16757163.0,16757163.0
74,55 DAYS AT PEKING (1963),17000000.0,10000000.0,10000000.0
75,8 FEMMES (2002),8000000.0,3076425.0,42376425.0
76,8 HEADS IN A DUFFEL BAG (1997),3000000.0,3602884.0,4002884.0
77,8 MILE (2002),41000000.0,116724075.0,245768384.0
78,8 MILLION WAYS TO DIE (1986),18000000.0,1305114.0,1305114.0
79,8 THE MORMON PROPOSITION (2010),2500000.0,100280.0,100280.0
80,88 MINUTES (2008),30000000.0,16930884.0,32955399.0
81,8MM (1999),40000000.0,36443442.0,96398826.0
82,9 (2009),30000000.0,31749894.0,48559999.0
83,90 MINUTES IN HEAVEN (2015),5000000.0,4816142.0,4816142.0
84,A BAD MOMS CHRISTMAS (2017),28000000.0,72110659.0,127710550.0
85,A BEAUTIFUL DAY IN THE NEIGHBORHOOD (2019),45000000.0,61696436.0,68590003.0
86,A BEAUTIFUL MIND (2001),78000000.0,170708996.0,317668058.0
87,A BETTER LIFE (2011),10000000.0,1759252.0,1884251.0
88,A BRIDGE TOO FAR (1977),26000000.0,50800000.0,50800000.0
89,A BUG'S LIFE (1998),45000000.0,162798565.0,363095319.0
90,A CHRISTMAS STORY (1983),3250000.0,20640209.0,20640209.0
91,A CINDERELLA STORY (2004),19000000.0,51438175.0,70112484.0
92,A CIVIL ACTION (1998),60000000.0,56709981.0,56709981.0
93,A DANGEROUS METHOD (2011),20000000.0,5702083.0,14807531.0
94,A DOG OF FLANDERS (1999),7000000.0,2165637.0,2165637.0
95,A DOG'S JOURNEY (2019),16000000.0,22782371.0,78867205.0
96,A DOG'S PURPOSE (2017),25000000.0,64321890.0,203055427.0
97,A DOG'S WAY HOME (2019),61000000.0,41952715.0,81152505.0
98,A FAREWELL TO ARMS (1957),5000000.0,11000000.0,11017403.0
99,A FEW GOOD MEN (1992),33000000.0,141340178.0,236500000.0
100,A GHOST STORY (2017),100000.0,1594798.0,2769782.0
101,A GOOD DAY TO DIE HARD (2013),92000000.0,67349198.0,304249198.0
102,A GOOD YEAR (2006),35000000.0,7459300.0,42064105.0
103,A GUY NAMED JOE (1943),2627000.0,5363000.0,5363000.0
104,A GUY THING (2003),20000000.0,15543862.0,17430594.0
105,A HARD DAY'S NIGHT (1964),560000.0,1537860.0,1626784.0
106,A HAUNTED HOUSE (2013),2500000.0,40041683.0,59922558.0
107,A HAUNTED HOUSE 2 (2014),4000000.0,17329487.0,21206861.0
108,A HISTORY OF VIOLENCE (2005),32000000.0,31493782.0,61477797.0
109,A HOLOGRAM FOR THE KING (2016),35000000.0,4212494.0,11846010.0
110,A HOME AT THE END OF THE WORLD (2004),6500000.0,1029017.0,1038228.0
111,A JOURNAL FOR JORDAN (2021),25000000.0,6400032.0,6537543.0
112,A KNIGHT'S TALE (2001),41000000.0,56083966.0,100622586.0
113,A LEAGUE OF THEIR OWN (1992),40000000.0,107533925.0,132440066.0
114,A LITTLE BIT OF HEAVEN (2012),12500000.0,10011.0,1100287.0
115,A LOT LIKE LOVE (2005),25000000.0,21835784.0,41921590.0
116,A LOW DOWN DIRTY SHAME (1994),10000000.0,29317886.0,29317886.0
117,A MAN APART (2003),36000000.0,26500000.0,43797731.0
118,A MAN FOR ALL SEASONS (1966),3900000.0,28350000.0,28350000.0
119,A MIDNIGHT CLEAR (1992),5000000.0,1526697.0,1526697.0
120,A MIGHTY HEART (2007),15000000.0,9176787.0,19153568.0
121,A MIGHTY WIND (2003),6000000.0,17583468.0,18504539.0
122,A MILLION WAYS TO DIE IN THE WEST (2014),40000000.0,42720965.0,86778557.0
123,A MONSTER CALLS (2016),43000000.0,3740823.0,46414530.0
124,A MOST VIOLENT YEAR (2014),20000000.0,5749134.0,8869722.0
125,A MOST WANTED MAN (2014),15000000.0,17237855.0,36068890.0
126,A MOUTHFUL OF AIR (2021),2300000.0,269435.0,269435.0
127,A NIGHT AT THE ROXBURY (1998),17000000.0,30331165.0,30331165.0
128,A NIGHTMARE ON ELM STREET (2010),35000000.0,63075011.0,117729618.0
129,A NIGHTMARE ON ELM STREET (1984),1800000.0,25504513.0,25542906.0
130,A NIGHTMARE ON ELM STREET 3 DREAM WARRIORS (1987),5000000.0,44793222.0,44793222.0
131,A NIGHTMARE ON ELM STREET 4 THE DREAM MASTER (1988),13000000.0,49369899.0,49369899.0
132,A NIGHTMARE ON ELM STREET PART 2 FREDDY'S REVE (1985),3000000.0,21163999.0,21163999.0
133,A NIGHTMARE ON ELM STREET THE DREAM CHILD (1989),6000000.0,22168359.0,22168359.0
134,A PASSAGE TO INDIA (1984),27500000.0,27187653.0,27187896.0
135,A PERFECT GETAWAY (2009),14000000.0,15515460.0,22815460.0
136,A PRAIRIE HOME COMPANION (2006),10000000.0,20342852.0,26716191.0
137,A QUIET PLACE (2018),17000000.0,188024361.0,334876670.0
138,A QUIET PLACE PART II (2021),61000000.0,160215764.0,296650356.0
139,A ROOM FOR ROMEO BRASS (2000),5250000.0,20097.0,20097.0
140,A ROOM WITH A VIEW (1986),3000000.0,20966644.0,21042007.0
141,A SCANNER DARKLY (2006),20000000.0,5501616.0,7405084.0
142,A SERIOUS MAN (2009),7000000.0,9228788.0,30360570.0
143,A SIMPLE FAVOR (2018),20000000.0,53548586.0,97628717.0
144,A SIMPLE PLAN (1998),17000000.0,16316273.0,16316273.0
145,A SIMPLE WISH (1997),28000000.0,8165213.0,8165213.0
146,A SINGLE MAN (2009),7000000.0,9176000.0,28142379.0
147,A SOUND OF THUNDER (2005),80000000.0,1900451.0,6300451.0
148,A STAR IS BORN (2018),36000000.0,215288866.0,431870523.0
149,A STREET CAT NAMED BOB (2016),8000000.0,82703.0,17368520.0
150,A STREETCAR NAMED DESIRE (1951),1800000.0,8000000.0,8006845.0
151,A THIN LINE BETWEEN LOVE AND HATE (1996),8000000.0,34873513.0,34873513.0
152,A THOUSAND WORDS (2012),40000000.0,18450127.0,20790486.0
153,A TIME TO KILL (1996),40000000.0,108766007.0,152266007.0
154,A VERY HAROLD AND KUMAR 3D CHRISTMAS (2011),20000000.0,35061031.0,36265745.0
155,A VIEW TO A KILL (1985),30000000.0,50327960.0,152627960.0
156,A WALK AMONG THE TOMBSTONES (2014),28000000.0,26017685.0,62108587.0
157,A WALK IN THE CLOUDS (1995),20000000.0,50008143.0,50008143.0
158,A WALK IN THE WOODS (2015),8000000.0,29499394.0,37119358.0
159,A WALK ON THE MOON (1999),14000000.0,4741987.0,4741987.0
160,A WALK TO REMEMBER (2002),11000000.0,41227069.0,46060861.0
161,A WRINKLE IN TIME (2018),103000000.0,100478608.0,133214549.0
162,A X L (2018),10000000.0,6501381.0,8259753.0
163,ABACUS SMALL ENOUGH TO JAIL (2017),650000.0,113279.0,113279.0
164,ABANDON (2002),25000000.0,10719367.0,12219367.0
165,ABCD ANY BODY CAN DANCE (2013),1900000.0,222098.0,10137234.0
166,ABDUCTION (2011),35000000.0,28087155.0,86648359.0
167,ABERDEEN (2001),6500000.0,64148.0,64148.0
168,ABOMINABLE (2019),75000000.0,60761390.0,188668435.0
169,ABOUT A BOY (2002),27000000.0,40803000.0,130759651.0
170,ABOUT LAST NIGHT (2014),13000000.0,48637684.0,50445860.0
171,ABOUT SCHMIDT (2002),30000000.0,65005217.0,107054484.0
172,ABOUT TIME (2013),12000000.0,15323921.0,85979738.0
173,ABOVE AND BEYOND (2015),1300000.0,288751.0,288751.0
174,ABRAHAM LINCOLN VAMPIRE HUNTER (2012),67500000.0,37519139.0,137489730.0
175,ABSOLUTE POWER (1997),50000000.0,50068310.0,50068310.0
176,ACE VENTURA PET DETECTIVE (1994),12000000.0,72217396.0,107217396.0
177,ACE VENTURA WHEN NATURE CALLS (1995),30000000.0,108360063.0,212400000.0
178,ACRIMONY (2018),20000000.0,43549096.0,46627836.0
179,ACROSS THE UNIVERSE (2007),45000000.0,24343673.0,29367143.0
180,ACT OF VALOR (2012),12000000.0,70012847.0,82497035.0
181,ACTION JACKSON (1988),7000000.0,20257000.0,20257000.0
182,ACTION POINT (2018),19000000.0,5059608.0,5103675.0
183,AD ASTRA (2019),80000000.0,50188370.0,135406280.0
184,ADAM (2009),3200000.0,2283291.0,2834485.0
185,ADAPTATION (2002),18500000.0,22498520.0,32531756.0
186,ADDAMS FAMILY VALUES (1993),47000000.0,46293855.0,46293855.0
187,ADDICTED (2014),5000000.0,17390770.0,17499242.0
188,ADMISSION (2013),13000000.0,18007317.0,18733666.0
189,ADORATION (2009),4000000.0,294244.0,384244.0
190,ADRIFT (2018),35000000.0,31445011.0,57897191.0
191,ADVENTURELAND (2009),9800000.0,16044025.0,17553055.0
192,AEON FLUX (2005),55000000.0,25857987.0,53913573.0
193,AFTER (2019),14000000.0,12138565.0,57926850.0
194,AFTER EARTH (2013),130000000.0,60522097.0,251499665.0
195,AFTER HOURS (1985),4500000.0,10609321.0,10609321.0
196,AFTER LIFE (2010),4500000.0,108596.0,2481925.0
197,AFTER THE SUNSET (2004),57000000.0,28328132.0,38329114.0
198,AGAINST THE ROPES (2004),39000000.0,5881504.0,6429865.0
199,AGENT CODY BANKS (2003),25000000.0,47545060.0,58240458.0
200,AGENT CODY BANKS 2 DESTINATION LONDON (2004),26000000.0,23514247.0,28703083.0
201,AGORA (2010),70000000.0,619423.0,38992292.0
202,AIMEE AND JAGUAR (2000),6800000.0,927107.0,927107.0
203,AIN'T THEM BODIES SAINTS (2013),5000000.0,391611.0,1075009.0
204,AIR BUD (1997),3000000.0,24646936.0,27788649.0
205,AIR FORCE ONE (1997),85000000.0,172956409.0,315268353.0
206,AIRPLANE (1980),3500000.0,83453539.0,83453539.0
207,AJAMI (2010),1000000.0,621859.0,2721096.0
208,AKEELAH AND THE BEE (2006),8000000.0,18848430.0,18959424.0
209,AKIRA (1991),8000000.0,19585.0,1962316.0
210,AKMAREUL BOATDA ÌECE¥¼ E³´ÌE¤ (2011),6000000.0,129210.0,13168809.0
211,ALABAMA MOON (2011),10000000.0,47305.0,47305.0
212,ALADDIN (1992),28000000.0,217350219.0,504050219.0
213,ALADDIN (2019),182000000.0,355559216.0,1046587513.0
214,ALBERT NOBBS (2011),7500000.0,3014696.0,8539003.0
