,Movie,Production Budget,Domestic Gross,Worldwide Gross,Genre,Movie Rating,User Rating,Meta Score,Duration in mins,Director,Lead,Year,User Rating Good/Bad,Meta Score Good/Bad,Director Count 0/1,Director Count
2516,LOCK UP (1989),24000000.0,22099847.0,22099847.0,,,,,,,,,,,,
2517,LOCKE (2014),2000000.0,1370646.0,2088390.0,,,,,,,,,,,,
5940,LOCKED DOWN (2021),,,,Romance,R,5.2,42.0,118.0,['Doug Liman'],Chiwetel Ejiofor,2021,0.0,1.0,1.0,1.0
2518,LOCKER 13 (2014),300000.0,3496.0,3496.0,,,,,,,,,,,,
2519,LOCKOUT (2012),20000000.0,14326865.0,33943049.0,,,,,,,,,,,,
2520,LOGAN (2017),127000000.0,226277068.0,614202315.0,Action/Adventure,R,8.1,77.0,137.0,['James Mangold'],Hugh Jackman,2017,1.0,1.0,1.0,1.0
2521,LOGAN LUCKY (2017),29000000.0,27778642.0,49046121.0,,,,,,,,,,,,
2522,LOGAN'S RUN (1976),7000000.0,25000000.0,25000000.0,,,,,,,,,,,,
2523,LOIN DES HOMMES (2015),7700000.0,5336.0,1136918.0,,,,,,,,,,,,
2524,LOL (2012),11000000.0,46000.0,10477506.0,,,,,,,,,,,,
2525,LOLA RENNT (1999),1750000.0,7267324.0,22879194.0,,,,,,,,,,,,
2527,LOLITA (1962),2000000.0,9250000.0,9250000.0,,,,,,,,,,,,
2526,LOLITA (1998),55000000.0,1147784.0,1147784.0,,,,,,,,,,,,
2528,LONDON (2006),2000000.0,12667.0,12667.0,,,,,,,,,,,,
2529,LONDON FIELDS (2018),8000000.0,252676.0,433732.0,,,,,,,,,,,,
2530,LONDON HAS FALLEN (2016),60000000.0,62524260.0,195194085.0,,,,,,,,,,,,
2531,LONE STAR (1996),5000000.0,12961389.0,12961389.0,,,,,,,,,,,,
2532,LONE SURVIVOR (2013),40000000.0,125095601.0,149804632.0,,,,,,,,,,,,
2533,LONE WOLF MCQUADE (1983),5000000.0,12232628.0,12232628.0,,,,,,,,,,,,
